Unnamed: 0,Player ID,Player Surname,Player Forename,Team,Position Id,recomendacion,cluster
264,43035,Alcaraz,Antolin,Wigan Athletic,2,"[1764, 11911, 19008, 19159, 17476]","[1718, 1764, 7551, 7645, 7933, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 51507, 68815]"
289,18658,Alex,,Chelsea,2,"[2399, 12780, 13439, 51507, 39253]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
292,40555,Allen,Joe,Swansea City,4,"[15114, 2404, 1632, 1411, 37055]","[1411, 1632, 2404, 14668, 15114, 21091, 28301, 39895, 50472]"
328,82263,Alonso,Marcos,Bolton Wanderers,2,"[42425, 3665, 105322, 53238, 51511]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
333,51922,Amos,Ben,Manchester United,1,"[66797, 5288, 5207, 37634, 4202]","[4202, 5207, 5288, 9631, 10954, 15903, 17687, 17694, 18151, 20531, 26756, 37634, 38251, 39725, 41705, 50264, 88658]"
334,27258,Anderson,,Manchester United,4,"[20589, 14295, 105086, 40555, 92488]","[363, 2019, 4990, 7670, 8442, 9110, 10454, 12882, 13227, 13308, 13594, 14469, 14898, 15076, 15188, 18586, 19556, 27696, 27707, 28097, 34296, 37639, 38297, 39217, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
344,91128,Andrade,Bruno,Queens Park Rangers,4,"[5043, 83701, 1615, 13524, 92488]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 93666, 98464, 103955, 105190, 114042]"
345,7670,Andrews,Keith,West Bromwich Albion,4,"[39895, 8378, 88821, 19569, 75773]","[363, 2019, 4990, 8442, 9110, 10454, 12882, 13227, 13308, 13594, 14469, 14898, 15076, 15188, 18586, 19556, 27258, 27696, 27707, 28097, 34296, 37639, 38297, 39217, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
359,57214,André Santos,,Arsenal,2,"[42593, 20658, 28146, 3785, 9047]","[1930, 3296, 5750, 7712, 9493, 11467, 15968, 16234, 19053, 19124, 19714, 19740, 20488, 20658, 28183, 28654, 37847, 41270, 42427, 42593, 54772, 55604, 58786]"
374,3897,Anelka,Nicolas,Chelsea,6,"[4396, 62419, 47412, 4445, 66749]","[1409, 1710, 3118, 4445, 6286, 8595, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 19645, 27440, 28157, 28541, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
383,28593,Anichebe,Victor,Everton,6,"[59970, 1409, 80181, 20298, 15675]","[1409, 1710, 3118, 3897, 4445, 6286, 8595, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 19645, 27440, 28157, 28541, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
395,20695,Antonio Valencia,,Manchester United,4,"[41208, 38429, 51887, 3658, 56944]","[1256, 15944, 41262, 51938]"
422,13227,Arshavin,Andrey,Arsenal,4,"[81025, 43250, 56979, 2019, 18008]","[363, 2019, 4990, 7670, 8442, 9110, 10454, 12882, 13308, 13594, 14469, 14898, 15076, 15188, 18586, 19556, 27258, 27696, 27707, 28097, 34296, 37639, 38297, 39217, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
441,8758,Arteta,Mikel,Arsenal,4,"[27258, 36903, 28499, 1812, 16045]",[27341]
472,28146,Assou-Ekotto,Benoit,Tottenham Hotspur,2,"[17336, 32318, 3785, 46695, 14075]","[3785, 13310, 14075, 17336, 26725, 34285, 47390]"
506,3665,Aurelio,Fabio,Liverpool,2,"[105322, 53238, 51507, 91979, 42427]","[1131, 1940, 1989, 2399, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
508,75880,Ayala,Daniel,Norwich City,2,"[1989, 11248, 42428, 86364, 13439]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
515,47412,Ba,Demba,Newcastle United,6,"[13017, 37572, 49013, 17500, 49724]",[13239]
549,12745,Baines,Leighton,Everton,2,"[14278, 5750, 42428, 12780, 27698]",[]
582,15968,Baird,Chris,Fulham,2,"[8380, 19718, 17336, 4098, 7645]","[1930, 3296, 5750, 7712, 9493, 11467, 16234, 19053, 19124, 19714, 19740, 20488, 20658, 28183, 28654, 37847, 41270, 42427, 42593, 54772, 55604, 57214, 58786]"
601,52477,Baker,Nathan,Aston Villa,2,"[27698, 60232, 13439, 87860, 11248]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
609,36903,Bale,Gareth,Tottenham Hotspur,4,"[8378, 18737, 20664, 38429, 59949]",[]
645,42493,Balotelli,Mario,Manchester City,6,"[12303, 37572, 5741, 49013, 3731]",[]
668,59013,Bannan,Barry,Aston Villa,4,"[10089, 7635, 51938, 1936, 1256]","[3, 1814, 1936, 15157, 15237, 20141, 28568]"
696,17997,Bardsley,Phillip,Sunderland,2,"[48730, 7712, 57214, 15405, 11278]","[9007, 9047, 11278, 15405, 20492, 32318, 37748, 40725, 42996, 45158, 49539, 58621, 76359]"
727,88894,Barkley,Ross,Everton,4,"[40231, 105086, 42518, 19688, 28566]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 91128, 93666, 98464, 103955, 105190, 114042]"
733,15201,Barnett,Leon,Norwich City,2,"[42593, 1640, 17476, 61944, 51511]","[973, 1059, 1216, 1587, 1640, 1809, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 42744, 45139, 55909, 58845, 80235, 80254, 82514, 83428]"
750,1632,Barry,Gareth,Manchester City,4,"[21083, 50471, 2160, 28147, 10454]","[1411, 2404, 14668, 15114, 21091, 28301, 39895, 40555, 50472]"
784,15276,Barton,Joey,Newcastle United,4,"[27258, 20141, 56944, 1812, 36903]",[]
817,42744,Bassong,Sébastien,Wolverhampton Wanderers,2,"[14919, 12674, 19718, 61933, 19084]","[973, 1059, 1216, 1587, 1640, 1809, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 45139, 55909, 58845, 80235, 80254, 82514, 83428]"
831,55586,Baxter,Jose,Everton,6,"[66978, 36968, 89328, 86168, 40501]","[1619, 1795, 4454, 5692, 5730, 19916, 20298, 32317, 33223, 36968, 39776, 39982, 40275, 40399, 40501, 46581, 49013, 51484, 59970, 61538, 66749, 66978, 80061, 80181, 89328, 91126, 95703, 107853]"
832,33298,Beausejour,Jean,Wigan Athletic,4,"[2570, 1936, 18818, 19556, 10089]",[2570]
848,32317,Beckford,Jermaine,Everton,6,"[91126, 40399, 39776, 86168, 35865]","[1619, 1795, 4454, 5692, 5730, 19916, 20298, 33223, 36968, 39776, 39982, 40275, 40399, 40501, 46581, 49013, 51484, 55586, 59970, 61538, 66749, 66978, 80061, 80181, 89328, 91126, 95703, 107853]"
850,40349,Begovic,Asmir,Stoke City,1,"[20066, 8432, 11334, 51940, 19236]","[1344, 1945, 45175, 66797]"
873,1231,Bellamy,Craig,Liverpool,6,"[43274, 55586, 11721, 27440, 20312]",[]
900,18753,Ben Arfa,Hatem,Newcastle United,4,"[19946, 39104, 18737, 19151, 20589]","[10425, 19196, 19959, 39202]"
926,13594,Benayoun,Yossi,Arsenal,4,"[13308, 2019, 49323, 21091, 12882]","[363, 2019, 4990, 7670, 8442, 9110, 10454, 12882, 13227, 13308, 14469, 14898, 15076, 15188, 18586, 19556, 27258, 27696, 27707, 28097, 34296, 37639, 38297, 39217, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
946,27697,Bendtner,Nicklas,Sunderland,6,"[4570, 3630, 18953, 3773, 20452]","[4570, 15398, 18953]"
975,10738,Bent,Darren,Aston Villa,6,"[4396, 15395, 20450, 42544, 3773]",[]
997,8595,Berbatov,Dimitar,Manchester United,6,"[43670, 80061, 39776, 98769, 1795]","[1409, 1710, 3118, 3897, 4445, 6286, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 19645, 27440, 28157, 28541, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
1009,19008,Berra,Christophe,Wolverhampton Wanderers,2,"[1764, 42996, 19188, 7933, 18832]","[1718, 1764, 7551, 7645, 7933, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507, 68815]"
1041,40146,Bertrand,Ryan,Chelsea,2,"[68815, 3665, 90801, 6298, 105322]","[973, 1059, 1216, 1587, 1640, 1809, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 42744, 45139, 55909, 58845, 80235, 80254, 82514, 83428]"
1048,51511,Bessone,Federico,Swansea City,2,"[91979, 39464, 53238, 86364, 42428]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1049,16005,Best,Leon,Newcastle United,6,"[17955, 20450, 39336, 3773, 1765]","[1195, 5075, 6240, 14279, 19321, 19557, 20312, 37334, 42758, 57835, 62419]"
1067,17891,Bilyaletdinov,Diniyar,Everton,4,"[80442, 98464, 37639, 59013, 41823]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 91128, 93666, 98464, 103955, 105190, 114042]"
1077,40501,Blackman,Nick,Blackburn Rovers,6,"[36968, 86168, 39982, 98769, 91126]","[1619, 1795, 4454, 5692, 5730, 19916, 20298, 32317, 33223, 36968, 39776, 39982, 40275, 40399, 46581, 49013, 51484, 55586, 59970, 61538, 66749, 66978, 80061, 80181, 89328, 91126, 95703, 107853]"
1078,1615,Blake,Robbie,Bolton Wanderers,4,"[4990, 88894, 13308, 81880, 92488]","[999, 1307, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 91128, 93666, 98464, 103955, 105190, 114042]"
1079,45175,Bogdan,Adam,Bolton Wanderers,1,"[19236, 20066, 3119, 20480, 1801]","[1344, 1945, 40349, 66797]"
1099,11278,Bosingwa,José,Chelsea,2,"[57214, 9047, 9007, 15284, 3296]","[9007, 9047, 15405, 17997, 20492, 32318, 37748, 40725, 42996, 45158, 49539, 58621, 76359]"
1126,4255,Bothroyd,Jay,Queens Park Rangers,6,"[1765, 3630, 27450, 18804, 3773]","[1765, 4396, 9765, 37084, 86168]"
1147,80235,Boyata,Dedryck,Bolton Wanderers,2,"[46695, 58786, 14965, 55909, 74230]","[973, 1059, 1216, 1587, 1640, 1809, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 42744, 45139, 55909, 58845, 80254, 82514, 83428]"
1161,3296,Boyce,Emmerson,Wigan Athletic,2,"[75880, 37742, 11248, 9007, 57214]","[1930, 5750, 7712, 9493, 11467, 15968, 16234, 19053, 19124, 19714, 19740, 20488, 20658, 28183, 28654, 37847, 41270, 42427, 42593, 54772, 55604, 57214, 58786]"
1187,1131,Bramble,Titus,Sunderland,2,"[76359, 58845, 18144, 2034, 14947]","[1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1195,1940,Bridge,Wayne,Sunderland,2,"[19053, 61933, 54469, 34285, 37869]","[1131, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1203,42425,Briggs,Matthew,Fulham,2,"[86364, 105322, 51507, 91979, 53238]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1205,15114,Britton,Leon,Swansea City,4,"[2404, 50471, 1411, 10561, 1632]","[1411, 1632, 2404, 14668, 21091, 28301, 39895, 40555, 50472]"
1241,1841,Brown,Wes,Sunderland,2,"[82514, 19188, 16854, 11278, 1640]","[973, 1059, 1216, 1587, 1640, 1809, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 42744, 45139, 55909, 58845, 80235, 80254, 82514, 83428]"
1261,53238,Bruno Perone,,Queens Park Rangers,2,"[51511, 53238, 91979, 86364, 2399]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 78108, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1262,19151,Brunt,Chris,West Bromwich Albion,4,"[12002, 20141, 1256, 16058, 28566]",[12002]
1291,10954,Bunn,Mark,Blackburn Rovers,1,"[5207, 66797, 5288, 50264, 28491]","[4202, 5207, 5288, 9631, 15903, 17687, 17694, 18151, 20531, 26756, 37634, 38251, 39725, 41705, 50264, 51922, 88658]"
1294,18586,Buzsáky,Ákos,Queens Park Rangers,4,"[75773, 7670, 13227, 43250, 50023]","[363, 2019, 4990, 7670, 8442, 9110, 10454, 12882, 13227, 13308, 13594, 14469, 14898, 15076, 15188, 19556, 27258, 27696, 27707, 28097, 34296, 37639, 38297, 39217, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
1312,27341,Cabaye,Yohan,Newcastle United,4,"[8758, 16058, 19057, 15276, 36903]",[8758]
1346,3273,Cahill,Tim,Everton,4,"[40660, 16210, 20208, 4611, 34296]",[41184]
1349,19419,Cahill,Gary,Bolton Wanderers,2,"[19272, 37642, 1764, 26725, 19188]","[1718, 1764, 7551, 7645, 7933, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507, 68815]"
1410,19645,Campbell,DJ,Queens Park Rangers,6,"[59125, 50175, 19688, 3118, 1619]","[1409, 1710, 3118, 3897, 4445, 6286, 8595, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 27440, 28157, 28541, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
1412,28541,Campbell,Fraizer,Sunderland,6,"[3118, 4445, 15395, 59125, 17955]","[1409, 1710, 3118, 3897, 4445, 6286, 8595, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 19645, 27440, 28157, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
1433,1809,Carragher,Jamie,Liverpool,2,"[1940, 1841, 1059, 17476, 1587]","[973, 1059, 1216, 1587, 1640, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 42744, 45139, 55909, 58845, 80235, 80254, 82514, 83428]"
1454,2404,Carrick,Michael,Manchester United,4,"[15109, 1632, 1411, 50471, 14664]","[1411, 1632, 14668, 15114, 21091, 28301, 39895, 40555, 50472]"
1484,40142,Carroll,Andy,Liverpool,6,"[3773, 18953, 27697, 15398, 20452]","[3630, 3773]"
1519,114042,Carruthers,Samir,Aston Villa,4,"[98464, 40564, 999, 19197, 28342]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 91128, 93666, 98464, 103955, 105190]"
1522,28448,Cattermole,Lee,Sunderland,4,"[50471, 28301, 1420, 5589, 1411]","[5589, 10561, 12150, 28468, 67731]"
1545,68815,Caulker,Steven,Swansea City,2,"[19159, 26793, 19272, 7551, 17476]","[1718, 1764, 7551, 7645, 7933, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507]"
1571,11334,Cech,Petr,Chelsea,1,"[38251, 51922, 1827, 51940, 8432]","[1803, 1822, 1827, 3119, 15337, 15749, 28491, 51940]"
1605,4202,Cerny,Radek,Queens Park Rangers,1,"[5207, 4202, 66797, 50264, 28491]","[5207, 5288, 9631, 10954, 15903, 17687, 17694, 18151, 20531, 26756, 37634, 38251, 39725, 41705, 50264, 51922, 88658]"
1610,15675,Chamakh,Marouane,Arsenal,6,"[40275, 14166, 50175, 1409, 19557]","[1409, 1710, 3118, 3897, 4445, 6286, 8595, 11721, 14166, 15395, 15428, 17955, 18215, 18804, 19645, 27440, 28157, 28541, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
1621,28301,Cheik Tioté,,Newcastle United,4,"[50471, 1411, 14668, 21091, 1632]","[1411, 1632, 2404, 14668, 15114, 21091, 39895, 40555, 50472]"
1645,42758,Cissé,Papiss Demba,Newcastle United,6,"[15398, 42544, 7958, 37572, 3773]","[1195, 5075, 6240, 14279, 16005, 19321, 19557, 20312, 37334, 57835, 62419]"
1646,6286,Cissé,Djibril,Queens Park Rangers,6,"[33223, 10738, 66749, 28593, 4445]","[1409, 1710, 3118, 3897, 4445, 8595, 11721, 14166, 15395, 15428, 15675, 17955, 18215, 18804, 19645, 27440, 28157, 28541, 28593, 35865, 37352, 39439, 55415, 58778, 59125, 60865, 80979, 97612, 98769]"
1667,58845,Clark,Ciaran,Aston Villa,2,"[42744, 15201, 19160, 973, 40146]","[973, 1059, 1216, 1587, 1640, 1809, 1841, 1869, 1934, 1950, 2004, 2034, 2562, 3736, 4142, 6219, 6254, 8371, 11078, 11378, 12443, 13898, 14278, 14947, 15201, 15498, 15864, 16854, 17127, 17468, 17974, 18144, 18832, 18846, 19160, 40146, 42744, 45139, 55909, 80235, 80254, 82514, 83428]"
1682,43250,Cleverley,Tom,Manchester United,4,"[83701, 37939, 73459, 28566, 6769]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 28566, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 91128, 93666, 98464, 103955, 105190, 114042]"
1692,17336,Clichy,Gaël,Manchester City,2,"[3785, 46695, 27698, 14075, 20359]","[3785, 13310, 14075, 26725, 28146, 34285, 47390]"
1720,78108,Coates,Sebastián,Liverpool,2,"[11248, 87835, 105322, 39464, 91979]","[1131, 1940, 1989, 2399, 3665, 6298, 11248, 11883, 12450, 12674, 12679, 12780, 13439, 14919, 14965, 16734, 18658, 19084, 19718, 27348, 27698, 37269, 38462, 39464, 41727, 42425, 42428, 46695, 48730, 51511, 52477, 53238, 54469, 54771, 60232, 61933, 61944, 65807, 74230, 75880, 82263, 86364, 87835, 87860, 90801, 91979, 92790, 103903, 105322, 106603]"
1727,58771,Colback,Jack,Sunderland,4,"[5589, 92372, 14775, 50472, 17812]","[14775, 105086]"
1762,3785,Cole,Ashley,Chelsea,2,"[17127, 27698, 13898, 46695, 20359]","[13310, 14075, 17336, 26725, 28146, 34285, 47390]"
1794,59949,Coleman,Seamus,Everton,4,"[57069, 37339, 81025, 38429, 91128]","[7525, 11829, 17349, 37339, 38429]"
1812,8380,Collins,James,Aston Villa,2,"[15498, 1764, 15201, 18846, 82514]","[1718, 1764, 7551, 7645, 7933, 8358, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507, 68815]"
1844,7933,Coloccini,Fabricio,Newcastle United,2,"[49539, 18846, 15201, 19124, 1764]","[1718, 1764, 7551, 7645, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 21094, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507, 68815]"
